Phone no, رقم التواصل
Items list grouped by supplier, كشف بالأصناف مجاميع موردين
Items list suppliers invoices, كشف بالأصناف - فواتير - موردين
To Date, إلي تاريخ
From Date, من تاريخ
Printed On, وقت الطباعه
Supplier, المورد
Items list customers invoices, كشف بالأصناف - فواتير - عملاء
Items list grouped by customer, كشف بالأصناف مجاميع عملاء
Pamper, الدلال
Pamper Details, تفاصيل الدلال
Pamper Name, اسم الدلال
Commissions, العمولات
Commission Total, إجمالي العمولة
Commission Invoice Reference, مرجع فاتورة العمولة
Total Commissions and Taxes, إجمالي العمولات والضرائب
Basic Info, البيانات الأساسية
Invoice Form, فاتورة الموردين
Total, الإجمالي
Payment No, رقم السند
Total Without Taxes, الإجمالي غير شامل الضريبة
Total with Taxes, الإجمالي شامل الضريبة
Items Details, تفاصيل الأصناف
Payments Details, تفاصيل الدفعات
Statement Forms, نماذج الكشوفات
Statement Form, كشف حساب مفصل
Download Reports, تحميل التقارير
Consider All Parties, إعتماد الكل
No data matches the chosen criteria, لا يوجد بيانات تطابق المعايير المطلوبة
Duration Selling, مبيعات الفترة
Commission, العمولة
VAT, الضريبة
Duration Payments, المدفوعات خلال الفترة
Statement, البيان
Party Group, مجموعة الطرف
Party Type is required, نوع الطرف مطلوب
Missing Filters, ترشيحات مفقوده
Calculate Opening Balance with Totals, حساب الرصيد الإفتتاحي عن طريق المجاميع
Generate Commission Invoices Automatically, إنشاء فواتير العمولة تلقائياً
Customer Commission Percentage, نسبة عمولة العميل الإفتراضية
Commission Item, صنف العمولة الإفتراضي
Default Tax, قالب الضرائب و الرسوم علي المبيعات الإفتراضي
Agriculture Settings, إعدادات التطبيق الزراعي
Invoice Forms, فواتير الموردين
Supplier Reports, تقارير الموردين
Customer Reports, تقارير العملاء
Agriculture Marketing, التسويق الزراعي
The Box, الصندوق
Previous Balance, رصيد سابق
Collection Form, كشف التحصيل
Generate Collection Form, توليد كشف التحصيل
Printed Date, تاريخ الطباعة
Printed Time, وقت الطباعة
Consider Drafts, تضمين الحركات المسودة
There are commission invoices that were not created before this duration., هناك فواتير عمولة لم يتم إنشاؤها قبل هذه المدة.
Debit, منه
Credit, له
New Layout, الإصدار الجديد
Detailed Report, الكشف التفصيلي
Detailed Reports, الكشوفات التفصيليه
Commissions, العمولات
Taxes, الضرائب
Ignore Zero Transactions, تخطي الحركات الصفرية
Balance From, رصيد منه
Balance To, رصيد له
Make Charge Payment, عمل سند رسوم
Charge Payments, سندات الرسوم
Creating charge payments..., جاري إنشاء سندات الرسوم...
Created, تم الإنشاء
Failed, فشل
Already linked to a charge payment, مرتبطة بسند رسوم بالفعل
No charges to apply, لا توجد رسوم للتطبيق
Original invoice has no charge payment to reverse, الفاتورة الأصلية ليس لها سند رسوم لعكسه
Cancelled invoice, فاتورة ملغاة
Charge Payment Out of Date, سند الرسوم غير محدّث
Supplier Charges Mode of Payment, طريقة دفع رسوم الموردين
rows, أسطر
Charge Voucher Locked, سند الرسوم مقفل
Is Supplier Charge, سند رسوم موردين
Invoice Form, فاتورة الموردين
Built from Invoice Form supplier charges. Change the invoices to change this voucher., منشأ من رسوم موردين في فواتير الموردين. عدّل الفواتير لتعديل هذا السند.
Building charge payments for {0} invoices in the background..., جاري إنشاء سندات الرسوم لعدد {0} فاتورة في الخلفية...
Quick Entry,الإدخال السريع
Refresh Cached Data,تحديث البيانات المخزنة
Add Row,إضافة صف
No matches,لا توجد نتائج
Suppliers,الموردين
Customers,العملاء
Items,الأصناف
cached,محفوظة منذ
Refreshing cached data...,جارٍ تحديث البيانات المخزنة...
Cached data updated,تم تحديث البيانات المخزنة
Could not refresh cached data,تعذر تحديث البيانات المخزنة
Could not load the quick entry data,تعذر تحميل بيانات الإدخال السريع
{0} is required,{0} مطلوب
Added {0}: {1} × {2},تمت إضافة {0}: {1} × {2}
Enable Quick Entry Bar in Bulk Invoice,تفعيل شريط الإدخال السريع في الفاتورة المجمعة
"Show a fast keyboard-entry bar above the items table in Bulk Invoice Form. Suppliers, customers and items are cached in the browser so searching them needs no server request.",إظهار شريط إدخال سريع بلوحة المفاتيح أعلى جدول الأصناف في الفاتورة المجمعة. يتم تخزين الموردين والعملاء والأصناف داخل المتصفح فلا يحتاج البحث فيها إلى أي طلب من الخادم.
Use Cached Search Inside Items Table,استخدام البحث المخزن داخل جدول الأصناف
"Also search the cached list from the Item, Supplier, Customer and Pamper fields inside the items table, instead of querying the server on every keystroke.",البحث أيضاً في القائمة المخزنة من حقول الصنف والمورد والعميل والمدلل داخل جدول الأصناف، بدلاً من استعلام الخادم عند كل حرف.
Recently used,آخر ما استُخدم
Drag to reorder,اسحب لإعادة الترتيب
Please save the document before creating Invoice Forms,يرجى حفظ المستند قبل إنشاء فواتير الموردين
Invoice Forms can only be created from a draft Bulk Invoice Form,لا يمكن إنشاء فواتير الموردين إلا من فاتورة مجمعة في حالة مسودة
Bulk Invoice Form {0} not found,الفاتورة المجمعة {0} غير موجودة
Created {0} new Invoice Forms,تم إنشاء {0} فاتورة موردين جديدة
Updated {0} existing Invoice Forms,تم تحديث {0} فاتورة موردين قائمة
Added {0} item rows,تمت إضافة {0} سطر صنف
